iter	MAE	RMSE
713	0.3476143395	0.4750749033
714	0.3475385624	0.4749493125
715	0.3474367579	0.4748448741
716	0.3472940766	0.4746996116
717	0.3472878811	0.4746831663
718	0.3471845934	0.4745804483
719	0.3471135387	0.4744908349
720	0.3469709247	0.4743408732
721	0.3469195464	0.4742790934
722	0.3468280782	0.4741948231
723	0.3467791063	0.4741420193
724	0.3467126307	0.4740644821
725	0.3466420041	0.4739585146
726	0.3466001481	0.4738900018
727	0.3464795447	0.4737024919
728	0.3463771419	0.4736032679
729	0.3462300943	0.4733821465
730	0.3461237153	0.4732500371
731	0.3459809989	0.4731316086
732	0.3458802376	0.4729763611
733	0.3457970839	0.4728681623
734	0.3456843313	0.472735109
735	0.3456331541	0.472656045
736	0.3455477943	0.4725838414
737	0.345442786	0.4724048638
738	0.3453536898	0.4723323693
739	0.3452571146	0.472245795
740	0.3450283168	0.4719736168
741	0.344968022	0.471881695
742	0.3448154431	0.471714045
743	0.3447174612	0.471610464
744	0.3445724933	0.4714505635
745	0.3445260971	0.4713897857
746	0.3444178664	0.4712446506
747	0.3442886619	0.4711024792
748	0.3441982649	0.4709501522
749	0.3441391927	0.4708716725
750	0.3440336088	0.4707591326
751	0.3439798673	0.4706756846
752	0.3439207996	0.4706173538
753	0.3438287928	0.4705120987
754	0.3437279513	0.4703718423
755	0.3435910945	0.4702146495
756	0.3434867621	0.4700845801
757	0.3433938142	0.4699710091
758	0.3433295608	0.4699198447
759	0.3432594697	0.4698521818
760	0.3432012938	0.4697943791
761	0.3431763196	0.469735555
762	0.3430567496	0.4696066314
763	0.3429028039	0.4693910254
764	0.3428740689	0.4692893369
765	0.3427055649	0.4691139652
766	0.3426367633	0.4690433999
767	0.3424983214	0.4688336329
768	0.3423601872	0.4686633284
769	0.3421708549	0.46842065
770	0.3420804748	0.4682537102
771	0.3420353545	0.4681616281
772	0.3420138212	0.4681001768
773	0.341902799	0.4680146682
774	0.3418569068	0.4679114711
775	0.3418079735	0.4678623808
776	0.3417112892	0.4676880172
777	0.3416666097	0.4676186593
778	0.3415089574	0.4674305553
779	0.3414145663	0.4673332867
780	0.3413129669	0.4672327038
781	0.3412623865	0.4671725412
782	0.3410878304	0.4669533834
783	0.340991143	0.4667941283
784	0.3408936226	0.4666498635
785	0.3408700339	0.4665995946
786	0.3407500249	0.4664457005
787	0.3406719924	0.4663364033
788	0.3405940647	0.4662461858
789	0.3404591273	0.4660789235
790	0.3404123859	0.4660451274
791	0.3403768674	0.4659940524
792	0.3403660033	0.4659782077
793	0.3402379527	0.4658342625
794	0.3401088639	0.4656684953
795	0.3400405363	0.4655461985
796	0.3399628188	0.465449874
797	0.3398390224	0.4653074106
798	0.3396779014	0.4651565904
799	0.3395910203	0.4650843771
800	0.3394833939	0.4649477754
801	0.3393891244	0.464848957
802	0.3392668984	0.4647508625
803	0.3391754253	0.4646466263
804	0.3391072916	0.4645333303
805	0.3389968807	0.4643599819
806	0.3388783776	0.4642036452
807	0.3388385191	0.4641228139
808	0.3387815314	0.4640102468
809	0.3387310573	0.4639339301
810	0.3386675438	0.4638490722
811	0.3386129484	0.4637965098
812	0.3385482032	0.4637173796
813	0.3385027878	0.463643766
814	0.3384461623	0.4635618332
815	0.3383817483	0.4634693004
816	0.3382710927	0.4633531367
817	0.338208336	0.4632419866
818	0.3381130846	0.4630888872
819	0.338049113	0.4629806075
820	0.3379672048	0.4628999478
821	0.3379232368	0.4628613423
822	0.337821212	0.4627348915
823	0.3377055831	0.4625618251
824	0.3375462067	0.462323256
825	0.337395379	0.462124602
826	0.3372774663	0.4620281122
827	0.3371333143	0.4618590815
828	0.3370414555	0.4617084151
829	0.3369415542	0.4615872877
830	0.3368842117	0.4615055906
831	0.3368269856	0.4614378946
832	0.3367418717	0.4613258718
833	0.336646691	0.4612332901
834	0.3366018869	0.4611758113
835	0.3364998416	0.4610727283
836	0.3363544081	0.4609337291
837	0.3362813475	0.4608688165
838	0.3362729361	0.4608605073
839	0.3361579057	0.4607228691
840	0.3360702788	0.4606300113
841	0.336013631	0.4605568964
842	0.3359520355	0.4604643768
843	0.3358750907	0.4603479736
844	0.3358098341	0.4602620246
845	0.3357243618	0.4601670537
846	0.3355844007	0.4600031655
847	0.3355780528	0.4600006405
848	0.3354934657	0.4599172048
849	0.3354099147	0.4598146569
850	0.3353522618	0.4597505624
851	0.3353129618	0.4597076013
852	0.3351615775	0.45951374
853	0.3349829924	0.4592853463
854	0.3349371525	0.459227257
855	0.334845958	0.4591264483
856	0.3347740396	0.4590335611
857	0.3347349029	0.4589418296
858	0.3346664935	0.4588696757
859	0.3346024189	0.4587547159
860	0.3345657032	0.4587023361
861	0.3344000952	0.4585451946
862	0.3343250918	0.4584522232
863	0.3342642102	0.4583830968
864	0.3342473093	0.4583567053
865	0.3341759923	0.4582246965
866	0.3340664001	0.4581107364
867	0.333982992	0.4580131145
868	0.3339239367	0.457915534
869	0.3338679788	0.4578195798
870	0.3337874385	0.4576820068
871	0.333699169	0.4575890493
872	0.3335846534	0.4574567626
873	0.3334968308	0.4574087106
874	0.3333845837	0.4572454972
875	0.3332923102	0.4571854536
876	0.3332065275	0.4570930358
877	0.3331100413	0.4569932257
878	0.3330460156	0.4568657719
879	0.3329851794	0.4567929167
880	0.3329214443	0.4566973757
